EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,8,9,9,9,8,9,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
6,9,8,9,9,9,8,9,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
6,11,8,9,9,9,8,9,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
6,11,8,9,9,9,8,9,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
6,11,7,9,9,9,9,9,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
8,10,8,10,9,9,8,8,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
7,8,7,8,7,8,9,8,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
10,9,9,9,7,9,9,8,10,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
7,11,8,9,9,8,11,9,9,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
8,9,9,9,10,8,10,9,9,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
9,9,9,9,10,9,8,11,8,13,luksuslik; reis; pariis; françois; vaheldus; napoleon; ehitamine; esimene; mürk; renessanss; loss; kuningas
