EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,13,10,11,7,10,11,10,7,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,12,11,11,7,12,11,10,7,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,11,12,11,7,11,11,10,7,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,12,12,11,7,12,11,11,7,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
12,13,11,10,8,12,11,10,7,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
10,13,13,10,10,14,12,11,7,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,13,12,12,12,13,9,10,7,15,talv; ants; raamat; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
13,11,12,14,11,12,13,12,10,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
12,12,13,13,12,14,10,13,11,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,12,13,13,12,13,12,11,12,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
11,12,9,13,11,12,11,14,12,15,talv; raamat; tegevus; ants; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
