EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,2,1,2,0,1,1,2,10,ivanov; vedur; ristimine; abort; hambahar
1,4,3,2,2,0,1,1,3,10,ivanov; vedur; ristimine; abort; hambahar
2,4,3,2,2,2,2,1,3,10,ivanov; vedur; ristimine; abort; hambahar
2,4,4,2,2,2,2,1,3,10,abort; vedur; ristimine; hambahar; ivanov
3,4,3,2,2,3,3,2,4,10,ivanov; abort; ristimine; vedur; hambahar
3,3,4,2,3,4,3,2,4,10,abort; ristimine; vedur; hambahar; ivanov
4,4,3,1,2,3,4,1,3,10,ivanov; abort; vedur; ristimine; hambahar
2,3,4,2,2,3,4,1,3,10,ivanov; abort; ristimine; vedur; hambahar
1,3,5,1,1,3,3,2,2,10,abort; vedur; ristimine; hambahar; ivanov
2,2,2,2,1,4,3,2,2,10,hambahar; ristimine; vedur; abort; ivanov
2,3,4,2,1,3,3,2,2,10,hambahar; ristimine; vedur; abort; ivanov
