EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,13,10,13,7,13,13,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,10,13,8,13,13,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,11,13,10,13,13,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,12,13,12,13,13,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,13,13,13,14,13,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
13,13,14,13,13,14,14,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,14,13,13,14,14,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,14,14,13,13,14,14,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,13,14,14,14,14,14,14,14,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,14,14,14,14,14,14,14,13,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
14,14,14,14,14,14,14,14,13,15,autor; urmas; reaalsus; vadi; tõlge; vikerraadio; sissov; vene; ülar; püüdlus; jevgeni; kompleks; inimlik; lauk
