EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,10,4,9,4,7,8,11,7,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; epstein; biitel; brian; john; ringo; mccartney; linn
13,10,4,10,4,10,7,13,7,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; epstein; biitel; brian; john; ringo; mccartney; linn
13,10,7,9,4,12,8,16,7,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; epstein; biitel; brian; john; ringo; mccartney; linn
14,10,8,9,4,12,11,14,8,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; epstein; brian; biitel; fänn; john; ringo; mccartney; linn
15,11,10,10,5,15,11,17,10,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; brian; biitel; epstein; john; ringo; mccartney; linn
10,9,10,11,8,16,12,15,10,17,lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; brian; biitel; epstein; linn; john; ringo; mccartney; ivo
11,14,12,14,9,14,13,15,11,17,lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; epstein; brian; biitel; fänn; linn; john; ringo; mccartney; ivo
9,12,13,15,10,13,14,12,11,17,lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; epstein; brian; biitel; fänn; linn; john; ringo; mccartney; ivo
9,11,12,12,10,11,14,14,10,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; epstein; brian; biitel; john; ringo; mccartney; linn
6,14,14,12,10,13,13,13,12,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; epstein; fänn; biitel; brian; john; ringo; mccartney; linn
7,10,12,12,11,9,10,13,10,17,ivo; lennon; ameerika; salumets; vello; bbc; rokkmuusik; maania; unenägu; fänn; epstein; biitel; brian; john; ringo; mccartney; linn
