EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,5,7,4,9,7,7,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,5,7,4,9,7,7,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,6,7,4,9,7,7,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,6,8,7,3,9,8,7,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
9,6,8,7,3,9,8,7,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,6,8,8,3,9,8,9,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
7,6,9,8,3,7,8,9,7,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
7,6,8,7,5,8,6,9,6,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,7,8,8,5,8,8,9,6,11,käsikiri; kriitika; abitu; kaas; kirjanik; rahutu; kapp; vaenlane; tähtsus
7,6,9,8,7,8,8,9,6,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
6,5,9,8,7,7,8,8,6,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
