EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,10,9,5,11,9,10,8,14,esinemine; lava; näitleja; endel; paat; puutükk; vanemuine; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
11,7,10,9,6,11,9,10,8,14,esinemine; lava; näitleja; endel; paat; puutükk; vanemuine; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
11,7,10,9,6,11,9,10,8,14,esinemine; lava; näitleja; endel; paat; puutükk; vanemuine; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
11,7,10,9,6,11,8,10,9,14,esinemine; lava; näitleja; endel; paat; puutükk; vanemuine; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
11,8,11,10,6,11,8,10,9,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
10,11,10,11,7,11,10,12,8,14,esinemine; lava; näitleja; endel; paat; vanemuine; puutükk; nikerdamine; teater; spinning; ani; hirm; elmar; salulaht
13,11,10,11,8,11,10,13,9,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; spinning; ani; hirm; elmar; salulaht
11,10,11,12,10,11,10,13,11,14,esinemine; lava; näitleja; endel; paat; vanemuine; puutükk; nikerdamine; teater; ani; spinning; hirm; elmar; salulaht
10,9,11,13,12,12,10,14,10,14,esinemine; lava; näitleja; endel; paat; vanemuine; nikerdamine; puutükk; teater; ani; spinning; hirm; elmar; salulaht
7,13,11,13,12,9,9,13,10,14,esinemine; lava; näitleja; endel; paat; vanemuine; puutükk; nikerdamine; teater; ani; spinning; hirm; elmar; salulaht
7,11,13,13,12,11,10,12,9,14,esinemine; lava; näitleja; endel; paat; puutükk; nikerdamine; vanemuine; teater; spinning; ani; hirm; elmar; salulaht
