EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,8,8,6,6,7,10,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
8,8,7,8,8,6,6,7,10,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
8,8,7,8,8,5,6,8,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
8,8,8,8,8,5,6,8,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
8,8,9,8,8,7,7,8,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
8,8,8,8,7,8,10,9,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,8,9,8,7,8,10,9,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
10,9,9,8,8,9,10,10,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,9,9,10,8,10,9,9,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,9,9,10,9,9,10,9,8,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
9,9,10,10,9,9,8,10,9,12,paul; darwin; rõõm; süü; seitse; toomas; tüdimus; aplus; ahnus; liialdus
