EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,5,9,2,9,9,10,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
11,7,5,9,2,9,9,12,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
11,7,8,9,3,9,10,12,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
11,7,7,9,3,9,10,12,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
10,7,10,9,3,9,9,12,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
10,9,12,9,7,10,10,12,6,16,kuslap; roheline; poliitika; neeme; korv; sulev; partei; arnold; rüütel; valimine; voldemar; strandberg
8,10,12,9,8,11,12,12,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
8,7,11,10,9,10,9,10,5,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
10,9,12,10,11,9,10,12,6,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
10,10,11,10,11,9,11,12,6,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
10,10,12,10,12,9,10,12,8,16,kuslap; roheline; poliitika; neeme; sulev; partei; arnold; strandberg; rüütel; valimine; voldemar; korv
