EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,7,6,8,6,7,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,10,9,7,6,8,6,10,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,10,9,7,7,8,8,10,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,11,12,8,7,11,10,10,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
9,11,12,11,8,11,12,11,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
9,12,11,11,8,12,12,12,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
9,9,12,10,8,10,12,11,10,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,8,10,9,11,12,12,11,9,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
8,8,11,8,11,12,11,12,11,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
9,10,12,8,11,12,11,11,11,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
9,8,10,7,12,10,11,11,11,15,eino; muusika; publik; tamberg; nele-eva; festival; steinfeld; interpreet; eesti; steinway; traditsioon; noor
