EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,4,7,7,5,5,7,5,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,10,4,7,7,7,6,7,5,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,11,6,7,7,8,6,7,5,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,11,8,7,7,8,7,6,5,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
10,12,10,7,7,7,8,7,4,15,tõlkimisvahend; süsteem; sõnapaar; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
11,12,10,8,8,9,8,9,4,15,tõlkimisvahend; sõnapaar; süsteem; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,9,11,5,8,9,11,11,4,15,tõlkimisvahend; sõnapaar; süsteem; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
10,12,12,7,7,8,9,10,6,15,tõlkimisvahend; sõnapaar; süsteem; tohuvabohu; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
11,10,11,9,7,8,10,11,7,15,tõlkimisvahend; sõnapaar; tohuvabohu; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,10,11,9,6,10,9,11,7,15,tõlkimisvahend; tohuvabohu; sõnapaar; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,10,11,9,8,10,10,11,7,15,tõlkimisvahend; sõnapaar; tohuvabohu; süsteem; isereguleeruv; laen; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
