EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,5,6,3,4,5,4,3,10,lapsepõlv; leho; sõnum; jutt; rein; puu; sabotaaž; onn; poiss
8,6,7,6,3,5,5,4,3,10,lapsepõlv; leho; sõnum; jutt; rein; puu; sabotaaž; onn; poiss
8,6,8,6,3,5,5,5,3,10,lapsepõlv; leho; sõnum; jutt; rein; puu; sabotaaž; onn; poiss
7,6,8,6,3,5,5,5,3,10,lapsepõlv; leho; sõnum; jutt; rein; puu; sabotaaž; onn; poiss
7,6,7,6,6,7,5,5,3,10,lapsepõlv; leho; sõnum; jutt; rein; puu; sabotaaž; onn; poiss
7,5,8,6,6,7,5,5,4,10,leho; sõnum; jutt; lapsepõlv; rein; puu; sabotaaž; onn; poiss
7,7,7,7,7,6,8,5,5,10,leho; sõnum; jutt; lapsepõlv; rein; puu; sabotaaž; onn; poiss
4,7,7,7,7,6,8,7,4,10,leho; lapsepõlv; jutt; sõnum; rein; puu; sabotaaž; onn; poiss
6,8,6,7,7,7,8,8,4,10,leho; lapsepõlv; jutt; sõnum; rein; puu; sabotaaž; onn; poiss
5,7,9,7,8,8,7,8,3,10,leho; lapsepõlv; jutt; sõnum; rein; puu; sabotaaž; onn; poiss
6,7,9,7,7,9,7,7,4,10,leho; lapsepõlv; jutt; sõnum; rein; puu; sabotaaž; onn; poiss
