EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,5,4,3,4,4,4,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,5,5,4,3,4,4,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,5,4,3,4,4,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,6,4,4,4,4,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,6,6,4,4,5,5,4,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,5,6,5,4,5,5,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
5,4,6,4,4,6,6,4,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,3,6,3,4,6,3,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
3,4,4,2,6,6,6,5,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
4,3,6,2,6,6,4,4,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
3,2,5,2,5,6,4,3,3,13,interaktiivne; epp; ivar; leimus; kollektsioon; näitus
