EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,8,5,8,7,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
7,8,7,8,5,8,7,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,5,8,7,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,5,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,5,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,7,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,8,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,8,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
8,8,8,8,8,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
7,8,8,8,8,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
7,8,8,8,8,8,8,8,8,13,õpetamine; hiiu; käär; hiidlane; aasta; merike; lili; sõna
