EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,12,8,11,6,7,6,7,8,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,10,8,11,6,7,5,8,9,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,10,8,11,6,8,5,8,9,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,11,9,11,7,8,7,9,10,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,11,8,11,7,8,9,10,11,14,üliintellekt; teadus; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,12,8,9,6,10,11,11,11,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
7,12,10,9,7,11,9,13,12,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
12,9,11,9,8,10,11,12,10,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
9,7,11,9,9,10,13,7,10,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
11,10,10,10,9,9,9,10,10,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
10,9,13,10,9,8,11,10,12,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; jõuluaeg; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
