EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,3,7,2,6,8,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,7,4,7,2,6,8,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,7,4,7,2,8,8,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,7,7,7,2,8,7,8,4,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,7,7,7,3,8,8,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
6,6,7,8,4,8,8,8,5,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
5,7,8,8,4,7,7,8,6,15,film; armukolmnurk; komandör; stalin; kangelane; liit; nõukogu; kosmodemjanskaja; naiskangelanna
7,7,9,8,4,7,7,9,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
7,7,9,8,5,7,7,8,5,15,film; armukolmnurk; komandör; stalin; nõukogu; kangelane; kosmodemjanskaja; liit; naiskangelanna
6,8,8,8,7,7,7,7,5,15,film; armukolmnurk; komandör; stalin; kangelane; kosmodemjanskaja; nõukogu; liit; naiskangelanna
6,7,9,8,6,7,7,7,6,15,film; armukolmnurk; komandör; stalin; kangelane; kosmodemjanskaja; nõukogu; liit; naiskangelanna
