EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,6,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,8,7,6,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,8,6,6,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,9,6,7,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,8,6,7,5,6,5,7,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; budism; pidustus; panteon; birma; teatrietendus; rändnäitleja; trumm
6,9,9,7,5,6,6,7,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
3,11,6,7,5,6,8,9,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
5,8,6,8,5,7,4,8,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
5,10,7,8,5,5,5,10,6,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
4,9,7,8,5,5,7,8,6,12,loodusjõud; nukuteater; tantsija; muusikakultuur; pidustus; budism; panteon; birma; teatrietendus; rändnäitleja; trumm
5,9,5,7,5,5,8,9,5,12,loodusjõud; nukuteater; budism; rändnäitleja; tantsija; muusikakultuur; pidustus; panteon; birma; teatrietendus; trumm
