EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,8,7,1,10,10,11,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
11,8,8,7,1,10,10,11,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
12,9,8,7,1,10,11,11,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
12,9,9,9,1,12,12,11,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
12,9,9,9,1,13,11,13,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
9,8,12,9,3,13,9,12,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
9,8,12,12,6,13,11,11,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
10,8,11,12,8,12,12,13,11,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
5,10,12,12,9,13,12,12,10,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
5,11,13,12,12,13,11,13,10,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
5,10,13,12,12,11,11,11,10,16,ettevõtlus; majandus; berluscon; suurbritannia; marje; itaalia; välireklaam; josing; vare; eesti; venemaa; silvio; kai; inflatsioon
