EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,3,4,4,3,4,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
5,4,5,3,4,4,3,4,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
5,4,5,3,4,4,3,6,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
5,4,5,3,4,4,4,6,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
6,4,6,3,4,4,5,6,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
4,4,6,4,4,5,6,6,4,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
7,6,6,5,6,4,6,6,5,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
7,4,6,4,5,5,6,6,5,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
6,5,7,5,5,6,6,6,5,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
6,6,7,4,5,5,6,6,5,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
5,6,6,4,4,5,5,6,5,14,krista; kerge; rikas; inglise; keel; hajumine; tõlgendus
