EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,2,8,2,5,5,5,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
9,3,3,8,2,6,5,5,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
9,2,3,8,2,6,5,6,5,14,kriitika; unenägu; viktor; näitleja; marje; ebaõnnestumine; õpilane; nõudmine; juhan; lavakunstikateeder; lenk
7,3,4,8,2,6,9,7,5,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
6,3,5,8,2,7,10,7,5,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
9,3,7,6,2,10,8,9,6,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
7,6,7,8,4,10,8,10,6,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
5,5,8,6,3,8,8,10,6,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
7,7,7,6,5,9,10,8,7,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
5,8,9,5,5,9,8,10,7,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
6,7,10,4,8,9,9,10,8,14,kriitika; viktor; näitleja; marje; juhan; lavakunstikateeder; lenk; unenägu; ebaõnnestumine; õpilane; nõudmine
