EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,7,1,2,4,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
7,7,8,7,1,2,4,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
7,7,7,7,1,2,4,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
10,5,7,6,1,3,3,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
10,5,7,8,2,2,4,6,5,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
8,5,8,7,3,5,5,5,6,14,evolutsioon; akadeemia; informatiivne; gustav; naan; teadus; plahvatus; sõda; fašism; lahing
8,6,8,7,5,8,7,6,6,14,evolutsioon; akadeemia; fašism; informatiivne; gustav; naan; teadus; plahvatus; sõda; lahing
7,10,7,7,5,10,6,7,6,14,akadeemia; lahing; fašism; evolutsioon; informatiivne; gustav; naan; teadus; plahvatus; sõda
6,10,8,7,9,8,6,9,7,14,akadeemia; lahing; fašism; evolutsioon; informatiivne; gustav; naan; teadus; plahvatus; sõda
5,9,9,8,9,9,8,9,7,14,akadeemia; fašism; lahing; evolutsioon; informatiivne; gustav; naan; teadus; plahvatus; sõda
4,8,5,9,9,9,9,10,8,14,akadeemia; fašism; lahing; evolutsioon; informatiivne; gustav; naan; teadus; plahvatus; sõda
