EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,7,2,8,6,3,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,5,5,7,2,8,6,3,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
8,5,7,8,2,8,7,3,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
8,5,7,8,2,8,7,5,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,5,7,9,2,7,8,6,5,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
7,6,6,8,2,6,7,6,5,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
6,7,7,7,3,7,8,6,5,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
5,8,8,7,3,8,8,6,5,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
5,7,9,7,5,7,7,7,4,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
4,8,8,7,5,7,8,7,4,11,mikomägi; panso; rapla; kriitika; intervjuu; näitleja; teatrikool; voldemar; teater
4,6,7,7,5,7,8,7,5,11,mikomägi; kriitika; rapla; panso; intervjuu; näitleja; teatrikool; voldemar; teater
