EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,5,2,4,4,4,5,16,hans; nädal; restoran; tõnu; ukraina; üro
6,6,4,5,2,4,5,4,5,16,hans; nädal; restoran; tõnu; ukraina; üro
6,5,5,5,2,4,5,5,5,16,hans; nädal; restoran; tõnu; ukraina; üro
6,5,5,5,3,3,5,4,5,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,5,5,3,4,6,5,5,16,hans; nädal; restoran; tõnu; ukraina; üro
4,4,5,5,3,4,6,6,5,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,6,4,4,4,6,6,5,16,hans; nädal; restoran; tõnu; ukraina; üro
5,3,6,5,5,5,6,6,5,16,hans; nädal; restoran; tõnu; ukraina; üro
6,5,5,5,5,5,5,6,3,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,5,5,4,5,5,5,3,16,hans; nädal; restoran; tõnu; ukraina; üro
5,5,5,5,5,5,5,5,4,16,hans; nädal; restoran; tõnu; ukraina; üro
