EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,6,6,4,4,7,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
6,6,7,5,6,4,4,8,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
6,6,8,4,6,4,5,8,7,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
5,7,8,4,6,5,5,9,8,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
5,7,8,4,4,7,5,9,8,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
5,7,6,6,7,7,6,9,8,12,triatlon; sport; tund; jooksma; ujumine; kilomeeter; ain; üheksa; maraton
7,8,6,7,7,4,8,9,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
8,6,7,9,7,6,5,7,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
7,7,6,8,8,7,6,5,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
7,8,6,8,8,6,7,6,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
8,8,8,8,8,7,5,6,8,12,triatlon; sport; jooksma; tund; ujumine; kilomeeter; ain; üheksa; maraton
