EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,10,10,9,10,10,8,7,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,9,9,10,9,10,10,9,8,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,9,9,10,8,10,10,9,8,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,10,10,10,8,11,12,10,8,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
10,10,9,11,8,13,11,10,8,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
9,10,10,12,12,12,10,10,8,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; disainer; kollektsioon; jahilo; tikand; talv; auhind
9,8,11,13,12,13,12,11,8,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
8,10,12,12,12,13,12,10,9,14,suursponsor; lill; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
8,10,11,12,10,12,11,10,9,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
7,10,10,12,10,12,13,11,10,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; kollektsioon; disainer; jahilo; tikand; talv; auhind
9,10,11,12,10,9,12,12,9,14,lill; suursponsor; privileeg; moenäda; berliin; eesti; moekunstnik; inspiratsioon; disainer; kollektsioon; jahilo; tikand; talv; auhind
