EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,9,9,9,8,9,10,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,11,10,9,10,8,10,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,11,10,9,10,8,10,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,11,10,9,9,8,11,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,11,10,8,10,10,11,11,10,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,10,11,10,10,11,11,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,10,11,11,10,11,11,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
10,11,9,11,11,11,11,11,11,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
11,11,10,11,11,11,11,11,9,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
9,11,10,11,11,11,11,11,8,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
9,10,10,11,11,11,11,11,9,12,seen; šokolaad; stuudio; plaat; eesti; raadio; ansambel; inglise; album; lugu; queen
