EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,9,8,5,8,5,9,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
8,9,10,8,5,8,6,8,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
8,8,9,8,5,9,6,8,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
8,7,8,8,5,10,8,8,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
7,6,10,9,5,9,10,9,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
7,6,11,9,5,10,9,10,5,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
11,9,11,9,6,11,10,11,6,16,kontseptualism; narratiiv; meedium; kriitika; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
10,8,9,8,7,9,10,10,6,16,kontseptualism; meedium; kriitika; narratiiv; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
10,7,9,8,9,10,9,12,7,16,kontseptualism; meedium; kriitika; narratiiv; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
10,8,10,9,10,10,10,10,5,16,kontseptualism; meedium; kriitika; narratiiv; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
9,9,9,8,11,7,8,9,7,16,kontseptualism; meedium; kriitika; narratiiv; kuraator; kuusk; kunst; säde; indrek; margit; laura; grigor
