EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,9,3,7,6,7,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
6,9,9,9,3,7,6,8,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
8,9,8,9,5,8,6,8,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
9,9,9,9,5,8,8,8,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
9,9,10,9,5,8,10,9,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
6,9,10,9,7,10,10,10,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
7,9,10,9,10,9,10,10,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
8,8,10,10,10,9,9,10,4,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
6,8,10,9,9,10,8,10,5,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
6,7,10,9,9,9,10,9,8,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
6,7,10,9,9,10,8,10,8,13,kristi; sanktsioon; jüri; mesilane; hobune; kreeka; sobak; piir; eurovisioon; migrant
