lemma;upos;ner tag;count;stopword
tere;INTJ;O;2;yes
,;PUNCT;O;286;no
kallis;ADJ;O;1;no
klassikaraadio;NOUN;O;1;no
kuulaja;NOUN;O;1;no
algama;VERB;O;1;no
olema;AUX;O;189;yes
saade;NOUN;O;2;no
kunst;NOUN;O;6;no
R;NOUN;O;1;yes
ja;CCONJ;O;117;yes
see;DET;O;72;yes
Tallinn;PROPN;O;8;no
plokk;NOUN;O;1;no
saatejuht;NOUN;O;1;no
Aleksander;PROPN;O;2;no
Sappov;PROPN;O;1;no
nagu;SCONJ;O;40;yes
ikka;ADV;O;4;yes
see;PRON;O;79;yes
nii;ADV;O;13;yes
täna;ADV;O;1;no
mina;PRON;O;57;yes
tegema;VERB;O;19;yes
intervjuu;NOUN;O;2;no
vastalanud;ADJ;O;1;no
14;NUM;O;2;no
.;PUNCT;O;95;no
graafikatriennaal;NOUN;O;9;no
üldkontseptsioon;NOUN;O;3;no
autor;NOUN;O;6;no
samuti;ADV;O;4;yes
kunstihoone;NOUN;O;7;no
galerii;NOUN;O;5;no
ase;NOUN;O;2;no
leidev;ADJ;O;2;no
näitus;NOUN;O;28;no
peakuraator;NOUN;O;1;no
Anders;PROPN;O;5;no
härm;NOUN;O;1;no
Aastane;PROPN;O;1;no
siis;ADV;O;66;yes
üldteema;NOUN;O;1;no
poliitiline;ADJ;O;13;no
poeetiline;ADJ;O;5;no
ehk;CCONJ;O;4;yes
inglise;ADJ;O;1;no
keel;NOUN;O;2;no
poliitika;NOUN;O;1;no
poeetika;NOUN;O;1;no
linnagalerii;NOUN;O;1;no
kumu;NOUN;O;3;no
kaks;NUM;O;6;no
või;CCONJ;O;15;yes
isegi;ADV;O;3;yes
seal;ADV;O;8;yes
rohkem;ADV;O;3;yes
80;NUM;O;1;no
eesti;ADJ;O;2;no
plakatinäitus;NOUN;O;1;no
suurem;ADJ;O;3;no
graafikanäitus;NOUN;O;1;no
mis;PRON;O;28;yes
kureerima;VERB;O;1;no
väliskuraator;NOUN;O;1;no
muu;PRON;O;2;yes
ei;AUX;O;40;yes
siin;ADV;O;5;yes
lisama;VERB;O;1;no
et;SCONJ;O;85;yes
minema;VERB;O;6;yes
kohe;ADV;O;2;yes
juba;ADV;O;4;yes
Härmi;PROPN;O;1;no
ka;ADV;O;28;yes
telefoniintervjuu;NOUN;O;1;no
juurde;ADP;O;1;yes
nüüd;ADV;O;7;yes
telefonitoru;NOUN;O;1;no
teine;DET;O;2;yes
ots;NOUN;O;1;no
Härm;PROPN;O;3;no
kes;PRON;O;21;yes
üks;PRON;O;2;yes
kuraator;NOUN;O;5;no
tervis;NOUN;O;1;no
13.;ADJ;O;1;no
kolmas;ADJ;O;1;no
taga;NOUN;O;1;yes
peateemaks;NOUN;O;1;no
Inexail;PROPN;O;1;no
papagoi;NOUN;O;1;no
kahtlemata;ADV;O;2;no
teema;NOUN;O;11;no
seekord;ADV;O;1;yes
pealkiri;NOUN;O;4;no
miks;ADV;O;2;yes
palju;ADV;O;6;yes
sina;PRON;O;17;yes
pidama;AUX;O;10;yes
võitlema;VERB;O;3;no
eest;ADP;O;3;yes
oma;PRON;O;12;yes
idee;NOUN;O;1;no
ei;ADV;O;6;yes
väga;ADV;O;18;yes
miski;PRON;O;8;yes
tegelikult;ADV;O;14;no
algus;NOUN;O;1;no
kõvasti;ADV;O;1;no
võib-olla;ADV;O;8;yes
mitte;ADV;O;4;yes
aga;CCONJ;O;21;yes
järjekind;NOUN;O;1;no
tundma;VERB;O;2;no
ise;PRON;O;10;yes
kuigi;SCONJ;O;1;yes
koduselt;ADV;O;1;no
graafika;NOUN;O;17;no
teemavaldkond;NOUN;O;1;no
kunagi;ADV;O;2;yes
tegelema;VERB;O;2;no
nii-öelda;ADV;O;26;no
kuuluma;VERB;O;2;no
huvi;NOUN;O;3;no
ringi;ADV;O;1;yes
vähemalt;ADV;O;3;yes
kindlasti;ADV;O;11;no
esmajärjekorras;NOUN;O;1;no
lõpuks;ADV;O;1;no
jääma;VERB;O;4;no
nõusse;NOUN;O;1;no
mõtlema;VERB;O;4;no
tuletama;VERB;O;1;no
kuidagi;ADV;O;4;yes
ikkagi;ADV;O;7;yes
lihtne;ADJ;O;1;no
lihtsalt;ADV;O;12;no
kunstinäitus;NOUN;O;2;no
ju;ADV;O;2;yes
mõte;NOUN;O;6;no
noh;INTJ;O;24;yes
arvama;VERB;O;14;no
mõningane;DET;O;1;yes
kogemus;NOUN;O;1;no
enamasti;ADV;O;3;no
raames;ADP;O;3;no
kaudselt;ADV;O;1;no
siduma;VERB;O;1;no
mõni;DET;O;1;yes
üksik;ADJ;O;2;no
Sirje;PROPN;O;1;no
Helme;PROPN;O;1;no
kureeritud;ADJ;O;2;no
