lemma;upos;ner tag;count;stopword
40;X;O;1;no
kogu;DET;O;3;yes
rahamaht;NOUN;O;1;no
mis;PRON;O;6;yes
igapäevategevus;NOUN;O;1;no
valimistegevus;NOUN;O;1;no
summaarselt;ADV;O;1;no
liikuma;VERB;O;1;no
kummaline;ADJ;O;1;no
komme;NOUN;O;1;no
sõnavõtja;NOUN;O;1;no
seisukoht;NOUN;O;1;no
vaidlema;VERB;O;1;no
küll;ADV;O;2;yes
enamik;NOUN;O;1;no
soov;NOUN;O;1;no
olukord;NOUN;O;2;no
parandama;VERB;O;2;no
õiguskantsler;NOUN;O;1;no
Allar;PROPN;O;1;no
Jõks;PROPN;O;1;no
vähendama;VERB;O;2;no
vajadus;NOUN;O;2;no
raha;NOUN;O;3;no
järele;ADP;O;1;yes
valimine;NOUN;O;1;no
alati;ADV;O;1;yes
vähe;ADV;O;1;no
seetõttu;ADV;O;1;yes
ainus;ADJ;O;1;no
võimalus;NOUN;O;2;no
surve;NOUN;O;2;no
kampaania;NOUN;O;2;no
taastama;VERB;O;1;no
õiguslik;ADJ;O;1;no
vastutus;NOUN;O;1;no
varjatud;ADJ;O;2;no
eest;ADP;O;4;yes
vaid;ADV;O;1;yes
tõus;NOUN;O;1;no
järjekindel;ADJ;O;1;no
järelevalve;NOUN;O;1;no
poliitiline;ADJ;O;2;no
kultuur;NOUN;O;1;no
paar;NUM;O;1;no
mõte;NOUN;O;1;no
sotsiaaldemokraat;NOUN;O;1;no
Sven;PROPN;O;1;no
Mikser;PROPN;O;1;no
kõne;NOUN;O;1;no
oluliselt;ADV;O;1;no
korrastama;VERB;O;2;no
annetaja;NOUN;O;2;no
kulutama;VERB;O;1;no
deklareerimine;NOUN;O;1;no
kord;NOUN;O;2;no
kindlasti;ADV;O;3;no
siia;ADV;O;1;yes
juurde;ADV;O;1;yes
sõltumatu;ADJ;O;1;no
audit;NOUN;O;1;no
võimaldama;VERB;O;1;no
nii-öelda;ADV;O;2;no
tegelik;ADJ;O;1;no
reklaam;NOUN;O;1;no
maht;NOUN;O;2;no
veel;ADV;O;2;yes
