lemma;upos;ner tag;count;stopword
mina;PRON;O;5;yes
olema;AUX;O;22;yes
Anni;PROPN;O;1;no
Kreem;PROPN;O;1;no
ja;CCONJ;O;50;yes
lugema;VERB;O;4;no
katkend;NOUN;O;1;no
Bett;PROPN;O;1;no
Alver;PROPN;O;1;no
poeemine;NOUN;O;1;no
.;PUNCT;O;98;no
Mõrane;PROPN;O;1;no
peegel;NOUN;O;2;no
see;DET;O;9;yes
aeg;NOUN;O;4;no
,;PUNCT;O;142;no
kui;SCONJ;O;16;yes
said;NOUN;O;1;yes
veel;ADV;O;6;yes
krõbe;ADJ;O;1;no
kopsakas;ADJ;O;1;no
kapsaleht;NOUN;O;1;no
lai;ADJ;O;1;no
naine;NOUN;O;7;no
hästi;ADV;O;1;no
lopsakas;ADJ;O;1;no
mulk;NOUN;O;1;no
kandma;VERB;O;2;no
must;ADJ;O;3;yes
vamm;NOUN;O;1;no
kurniviskasiganaakman;NOUN;O;1;no
köster;NOUN;O;1;no
lehm;NOUN;O;1;no
minema;VERB;O;3;yes
lõhki;ADV;O;2;no
ramm;NOUN;O;1;no
juturaamat;NOUN;O;1;no
mis;PRON;O;5;yes
Laakman;PROPN;O;1;no
rasv;NOUN;O;2;no
läikema;VERB;O;1;no
koi;NOUN;O;1;no
pannkook;NOUN;O;1;no
kraed;NOUN;O;1;no
kardavoid;NOUN;O;1;no
palju;ADV;O;1;yes
riie;NOUN;O;1;no
rikkuma;VERB;O;1;no
üks;DET;O;2;yes
väike;ADJ;O;7;no
rätsep;NOUN;O;2;no
varak;NOUN;O;1;no
tema;PRON;O;57;yes
juba;ADV;O;2;yes
unistama;VERB;O;1;no
tikkuma;VERB;O;1;no
diaater;NOUN;O;1;no
jumal;NOUN;O;1;no
Barakkumine;PROPN;O;1;no
imelik;ADJ;O;1;no
käis;NOUN;O;1;no
õlg;NOUN;O;1;no
täis;ADV;O;1;no
püha;ADJ;O;1;no
põlemine;NOUN;O;1;no
põlguma;VERB;O;1;no
lamp;NOUN;O;2;no
valge;NOUN;O;2;no
kasinalt;ADV;O;1;no
küll;ADV;O;1;yes
õmblema;VERB;O;1;no
kokku;ADV;O;1;yes
masin;NOUN;O;1;no
siis;ADV;O;8;yes
võitlema;VERB;O;1;no
ise;PRON;O;4;yes
argus;NOUN;O;1;no
häbi;NOUN;O;1;no
vastu;ADV;O;1;yes
uksetav;ADJ;O;1;no
nõelasilm;NOUN;O;1;no
läbi;ADV;O;2;yes
pääsema;VERB;O;1;no
näitelav;NOUN;O;1;no
noor;ADJ;O;6;no
sirge;ADJ;O;1;no
suli;NOUN;O;1;no
ägedus;NOUN;O;1;no
kirge;NOUN;O;1;no
õppima;VERB;O;2;no
päev;NOUN;O;2;no
öö;NOUN;O;1;no
võib-olla;ADV;O;2;yes
liiga;ADV;O;1;yes
laialt;ADV;O;1;no
voolama;VERB;O;1;no
rängalt;ADV;O;2;no
üle;ADV;O;1;yes
soolas;ADJ;O;1;no
tegema;VERB;O;3;yes
ainult;ADV;O;1;yes
kirvetöö;NOUN;O;1;no
ükskõik;ADV;O;1;yes
lõkendama;VERB;O;1;no
sundima;VERB;O;2;no
nii;ADV;O;14;yes
mõni;DET;O;8;yes
nooruk;NOUN;O;1;no
kes;PRON;O;10;yes
tundine;ADJ;O;1;no
elu;NOUN;O;2;no
võitma;VERB;O;1;no
ka;ADV;O;2;yes
muudkui;ADV;O;1;yes
müts;NOUN;O;1;yes
tärn;NOUN;O;1;no
kroonupuu;NOUN;O;1;no
süda;NOUN;O;5;no
aruten;NOUN;O;1;no
tuksuma;VERB;O;2;no
laup;NOUN;O;2;no
kaduma;VERB;O;1;no
kurd;NOUN;O;1;no
neitsikene;NOUN;O;1;no
luksus;NOUN;O;2;no
poodnik;NOUN;O;1;no
paks;ADJ;O;1;no
turd;NOUN;O;1;no
hädavaevalt;ADV;O;1;no
mahtuma;VERB;O;1;no
tool;NOUN;O;1;no
lööma;VERB;O;3;no
vastu;ADP;O;1;yes
vest;NOUN;O;1;no
ründama;VERB;O;1;no
vedu;NOUN;O;1;no
võlts;NOUN;O;1;no
kaaluma;VERB;O;2;no
petrool;NOUN;O;1;no
kauem;ADV;O;1;no
mõtlema;VERB;O;2;no
säri;NOUN;O;1;no
korraga;ADV;O;1;no
kõik;PRON;O;4;yes
nagu;SCONJ;O;9;yes
puitus;NOUN;O;1;no
Haining;PROPN;O;1;no
õhuke;ADJ;O;1;no
