lemma;upos;ner tag;count;stopword
Türgi;PROPN;O;49;no
ja;CCONJ;O;209;yes
Nobel;PROPN;O;11;no
kirjanduspreemia;NOUN;O;1;no
mikrofon;NOUN;O;1;no
ees;ADP;O;8;yes
olema;AUX;O;192;yes
kirjanik;NOUN;O;10;no
Liis;PROPN;O;1;no
Seppel;PROPN;O;1;no
Andres;PROPN;O;3;no
Ehin;PROPN;O;1;no
.;PUNCT;O;156;no
mina;PRON;O;68;yes
siin;ADV;O;5;yes
täna;ADV;O;1;no
see;PRON;O;92;yes
,;PUNCT;O;313;no
et;SCONJ;O;95;yes
püüdma;VERB;O;8;no
rääkima;VERB;O;12;no
läbi;ADP;O;3;yes
preemia;NOUN;O;9;no
prisma;NOUN;O;1;no
läinud;ADJ;O;1;yes
aasta;NOUN;O;7;no
detsembrikuu;NOUN;O;1;no
seitsmes;ADJ;O;1;no
kuupäev;NOUN;O;1;no
saama;VERB;O;13;yes
Orhan;PROPN;O;9;no
Pamuk;PROPN;O;14;no
Rootsi;PROPN;O;1;no
Akadeemia;PROPN;O;1;no
kuum;ADJ;O;1;no
teema;NOUN;O;8;no
üha;ADV;O;1;no
enam;ADV;O;5;yes
klass;NOUN;O;1;no
kes;PRON;O;15;yes
sõitma;VERB;O;1;no
rand;NOUN;O;2;no
türgi;ADJ;O;17;no
turg;NOUN;O;2;no
ei;AUX;O;39;yes
keegi;PRON;O;4;yes
kuidagi;ADV;O;6;yes
nõu;NOUN;O;1;no
andma;VERB;O;10;no
mis;PRON;O;41;yes
veel;ADV;O;8;yes
peale;ADP;O;6;yes
aga;CCONJ;O;39;yes
proovima;VERB;O;1;no
täit;NOUN;O;1;no
mõlgutama;VERB;O;1;no
poolest;ADP;O;1;yes
arenev;ADJ;O;2;no
huvitav;ADJ;O;6;no
maa;NOUN;O;13;no
otsing;NOUN;O;1;no
või;CCONJ;O;33;yes
püüdlus;NOUN;O;1;no
võima;AUX;O;11;yes
sarnane;ADJ;O;2;no
inimlik;ADJ;O;3;no
ühendama;VERB;O;1;no
?;PUNCT;O;3;no
nagunii;ADV;O;1;no
liiga;ADV;O;2;yes
palju;ADV;O;25;yes
lahutama;VERB;O;2;no
ühtlasi;ADV;O;1;yes
ka;ADV;O;35;yes
raske;ADJ;O;4;no
probleem;NOUN;O;8;no
seisev;ADJ;O;1;no
just;ADV;O;4;yes
laureaat;NOUN;O;1;no
teos;NOUN;O;1;no
lumi;NOUN;O;6;no
nii;ADV;O;26;yes
kenasti;ADV;O;1;no
ära;ADV;O;12;yes
tõlkima;VERB;O;1;no
eesti;ADJ;O;3;no
keel;NOUN;O;3;no
maastess;NOUN;O;1;no
vaevlema;VERB;O;3;no
identiteedikriis;NOUN;O;2;no
käes;ADP;O;3;yes
kuidas;ADV;O;7;yes
ühildama;VERB;O;3;no
traditsiooniline;ADJ;O;2;no
rahvuslik;ADJ;O;4;no
kultuur;NOUN;O;7;no
Euroopa;PROPN;O;11;no
tsivilisatsioon;NOUN;O;3;no
üks;DET;O;9;yes
väga;ADV;O;35;yes
Türgi;NOUN;O;1;no
tahtma;VERB;O;11;no
täiendama;VERB;O;1;no
ainult;ADV;O;5;yes
see;DET;O;55;yes
idend;NOUN;O;1;no
kriis;NOUN;O;5;no
eurooplane;NOUN;O;3;no
kui;ADV;O;4;yes
türklane;NOUN;O;12;no
vaid;ADV;O;4;yes
juba;ADV;O;3;yes
pikk;ADJ;O;2;no
aeg;NOUN;O;18;no
sajand;NOUN;O;3;no
tema;PRON;O;79;yes
araabiamaailm;NOUN;O;1;no
islamimaailm;NOUN;O;4;no
sest;SCONJ;O;6;yes
saatus;NOUN;O;1;no
ääremaa;NOUN;O;4;no
jaoks;ADP;O;5;yes
jumal;NOUN;O;6;no
tänama;VERB;O;1;no
kõik;DET;O;7;yes
koledus;NOUN;O;1;no
jääma;VERB;O;5;no
Saudi;PROPN;O;2;no
Araabia;PROPN;O;3;no
mõni;DET;O;7;yes
šiitlik;ADJ;O;1;no
teadupärast;ADV;O;1;no
sunniit;NOUN;O;2;no
haridus;NOUN;O;3;no
lembelisem;ADJ;O;1;no
arengulembus;NOUN;O;1;no
kuigi;SCONJ;O;4;yes
tüüp;NOUN;O;1;no
seal;ADV;O;15;yes
ju;ADV;O;7;yes
alaviit;NOUN;O;2;no
moodustama;VERB;O;1;no
moslem;NOUN;O;1;no
umbes;ADV;O;2;yes
viiendik;NUM;O;1;no
küll;ADV;O;5;yes
ameeriklane;NOUN;O;2;no
mitu;DET;O;4;yes
mõte;NOUN;O;2;no
läänelik;ADJ;O;4;no
sellepärast;ADV;O;2;yes
leidma;VERB;O;5;no
hea;ADJ;O;2;no
inimene;NOUN;O;14;no
üldse;ADV;O;1;no
uskuma;VERB;O;6;no
mismoodi;ADV;O;1;no
olema;VERB;O;3;yes
nõus;ADV;O;1;no
tunnistama;VERB;O;2;no
kristlane;NOUN;O;1;no
juut;NOUN;O;1;no
kui;SCONJ;O;32;yes
normaalne;ADJ;O;1;no
hulgast;ADP;O;1;yes
tulema;VERB;O;7;yes
harva;ADV;O;2;no
niisugune;DET;O;6;yes
fundamentalist;NOUN;O;2;no
äärmuslane;NOUN;O;1;no
niisiis;ADV;O;1;yes
islam;NOUN;O;4;no
aga;ADV;O;4;yes
kauge;ADJ;O;2;no
Euroopa-mõjuline;ADJ;O;1;no
õige;ADV;O;1;no
prantsuse;ADJ;O;1;no
kultuurimõjuline;ADJ;O;1;no
pärast;ADP;O;8;yes
1928.;ADJ;O;1;no
araabia;ADJ;O;3;no
tähestik;NOUN;O;2;no
kaotama;VERB;O;1;no
oma;PRON;O;20;yes
kehtivus;NOUN;O;1;no
minema;VERB;O;8;yes
ladina;ADJ;O;1;no
üle;ADP;O;7;yes
järele;ADV;O;1;yes
kohe;ADV;O;3;yes
suur;ADJ;O;7;no
keeleuuendus;NOUN;O;1;no
kuni;SCONJ;O;1;yes
sinna;ADV;O;3;yes
pool;NUM;O;1;yes
sõna;NOUN;O;4;no
pärsia;ADJ;O;2;no
siis;ADV;O;12;yes
tekkima;VERB;O;1;no
võimas;ADJ;O;1;yes
keeleuuendusliikumine;NOUN;O;1;no
tänapäev;NOUN;O;4;no
võimalik;ADJ;O;1;no
vähemalt;ADV;O;3;yes
neli;NUM;O;2;no
tasand;NOUN;O;2;no
tunduma;VERB;O;1;no
olenevalt;ADV;O;1;no
sõnum;NOUN;O;1;no
jutt;NOUN;O;5;no
tänu;ADP;O;1;yes
islamiääremaa;NOUN;O;1;no
naine;NOUN;O;3;no
olukord;NOUN;O;4;no
ütlema;VERB;O;13;no
kolm;NUM;O;2;no
pluss;NOUN;O;1;no
võrdlema;VERB;O;2;no
hullult;ADV;O;1;no
mohameetlikum;ADJ;O;1;no
miski;PRON;O;2;yes
tegema;VERB;O;13;yes
võtma;VERB;O;4;no
Muhameetlik;PROPN;O;1;no
maailm;NOUN;O;12;no
eelkõige;ADV;O;1;yes
araablane;NOUN;O;2;no
vaimulaad;NOUN;O;3;no
tähtis;ADJ;O;4;no
hullusti;ADV;O;1;no
kergesti;ADV;O;2;no
solvuma;ADJ;O;1;no
tühine;ADJ;O;1;no
asi;NOUN;O;12;no
oskama;VERB;O;4;no
uni;NOUN;O;1;no
nägema;VERB;O;3;no
laps;NOUN;O;3;no
tekk;NOUN;O;1;no
toredasti;ADV;O;1;no
kokkuvõte;NOUN;O;1;no
lubama;VERB;O;2;no
üksinda;ADV;O;1;no
tüdruk;NOUN;O;7;no
le;NOUN;O;1;no
reisima;VERB;O;2;no
reis;NOUN;O;2;no
ette;ADV;O;1;yes
valmistama;VERB;O;1;no
Pinot;PROPN;O;1;no
vanem;NOUN;O;1;no
käinud;ADJ;O;1;no
idamaa;NOUN;O;2;no
kokku;ADV;O;1;yes
puutuma;VERB;O;1;no
vältima;VERB;O;2;no
konflikt;NOUN;O;2;no
sina;PRON;O;7;yes
suutma;VERB;O;4;no
ära;AUX;O;1;yes
hakkama;VERB;O;4;yes
lahendama;VERB;O;2;no
hullem;ADJ;O;2;no
nali;NOUN;O;1;no
tunduma;AUX;O;1;no
terane;ADJ;O;1;no
Sepaidžaan;PROPN;O;1;no
Turkmeenia;PROPN;O;1;no
õppima;VERB;O;4;no
märkama;VERB;O;3;no
kristlik;ADJ;O;2;no
niipea;ADV;O;2;no
mingi;DET;O;2;yes
segane;ADJ;O;1;no
mürk;NOUN;O;1;no
kord;NOUN;O;1;no
ajaxnima;VERB;O;1;no
edasi;ADV;O;3;yes
jälle;ADV;O;2;no
euroop;NOUN;O;1;no
paga;NOUN;O;1;no
ühildumine;NOUN;O;1;no
teadlik;ADJ;O;1;no
tase;NOUN;O;1;no
tõsine;ADJ;O;1;no
katse;NOUN;O;1;no
Atatürk;PROPN;O;4;no
viima;VERB;O;2;no
vabariik;NOUN;O;1;no
kehtestama;VERB;O;3;no
23.;ADJ;O;1;no
arengutee;NOUN;O;1;no
kirik;NOUN;O;1;no
riik;NOUN;O;5;no
keelama;VERB;O;2;no
fess;NOUN;O;1;no
kandmine;NOUN;O;3;no
nägu;NOUN;O;2;no
varjav;ADJ;O;1;no
naisterätik;NOUN;O;1;no
mees;NOUN;O;5;no
sarapaar;NOUN;O;1;no
puhvpüks;NOUN;O;1;no
keelas;NOUN;O;1;no
klooster;NOUN;O;1;no
sufi;NOUN;O;1;no
vennaskond;NOUN;O;1;no
propageerima;VERB;O;1;no
sonimüts;NOUN;O;1;no
kaab;NOUN;O;1;no
kogunema;VERB;O;1;no
silinderkübar;NOUN;O;1;no
siiski;ADV;O;3;yes
kapach;NOUN;O;1;no
sealjuures;ADV;O;1;no
au;NOUN;O;1;no
sisse;ADP;O;1;yes
nõudma;VERB;O;1;no
sekk;NOUN;O;1;no
otseselt;ADV;O;1;no
euroopalik;ADJ;O;3;no
käitumine;NOUN;O;2;no
isegi;ADV;O;3;yes
vägivaldne;ADJ;O;1;no
käsi;NOUN;O;1;no
nagu;SCONJ;O;9;yes
Peeter;PROPN;O;1;no
Suur;PROPN;O;1;no
vene;ADJ;O;1;no
ajama;VERB;O;2;no
talumees;NOUN;O;1;no
bojaar;NOUN;O;1;no
habe;NOUN;O;1;no
vägivaldselt;ADV;O;1;no
Venemaa;PROPN;O;4;no
mitte;ADV;O;7;yes
ainus;ADJ;O;1;no
säärane;DET;O;1;yes
jooksul;ADP;O;1;yes
pära;NOUN;O;1;no
ühildamine;NOUN;O;1;no
vajalik;ADJ;O;1;no
nina;NOUN;O;1;no
püsti;ADV;O;1;no
kõige;ADV;O;7;yes
kõrgem;ADJ;O;1;no
täiuslikum;ADJ;O;1;no
ehk;ADV;O;2;yes
puht;ADV;O;2;no
vaimne;ADJ;O;1;no
tõepoolest;ADV;O;2;no
Hispaania;PROPN;O;1;no
filosoof;NOUN;O;1;no
Salvador;PROPN;O;1;no
dema;PROPN;O;1;no
taria;NOUN;O;1;no
iseloomustama;VERB;O;1;no
mõtisklemine;NOUN;O;1;no
maima;VERB;O;1;no
läänem;NOUN;O;1;no
mayndanud;ADJ;O;1;no
action;NOUN;O;1;no
iga;DET;O;2;yes
mõtisklema;VERB;O;1;no
otsekohe;ADV;O;1;no
praktiliselt;ADV;O;1;no
kasutama;VERB;O;2;no
too;PRON;O;1;yes
erinevus;NOUN;O;1;no
nähtavasti;ADV;O;4;no
mõistma;VERB;O;4;no
võimalus;NOUN;O;1;no
mahedalt;ADV;O;1;no
demokraatlikult;ADV;O;1;no
demokraatia;NOUN;O;3;no
liberalism;NOUN;O;1;no
ebademokraatlik;ADJ;O;1;no
tee;NOUN;O;2;yes
kogu;DET;O;4;yes
tagasilöök;NOUN;O;3;no
tundma;VERB;O;4;no
kuskil;ADV;O;1;yes
Istanbuli;PROPN;O;5;no
Ankara;PROPN;O;1;no
muu;DET;O;1;yes
mereäärne;ADJ;O;1;no
suurlinn;NOUN;O;2;no
polk;NOUN;O;1;no
