lemma;upos;ner tag;count;stopword
nii;ADV;O;54;yes
,;PUNCT;O;713;no
nüüd;ADV;O;18;yes
hakkama;VERB;O;4;yes
rääkima;VERB;O;34;no
jutt;NOUN;O;5;no
Markkus;PROPN;O;1;no
Mikomägi;PROPN;O;2;no
iga;DET;O;4;yes
kes;PRON;O;28;yes
pälvima;VERB;O;1;no
Raplamaa;PROPN;O;1;no
Kultuurkapital;PROPN;O;1;no
preemia;NOUN;O;1;no
kultuuripärl;NOUN;O;1;no
.;PUNCT;O;219;no
tere;INTJ;O;2;yes
Margus;PROPN;O;5;no
tegema;VERB;O;39;yes
asi;NOUN;O;22;no
selge;ADJ;O;3;no
kas;ADV;O;20;yes
sina;PRON;O;68;yes
nimi;NOUN;O;3;no
käänama;VERB;O;1;no
Miko;PROPN;O;2;no
mägi;NOUN;O;4;no
Gomäe;PROPN;O;1;no
nimetav;ADJ;O;1;no
kuidas;ADV;O;27;yes
Mallega;PROPN;O;1;no
stuudio;NOUN;O;2;no
Mikko;PROPN;O;4;no
või;CCONJ;O;38;yes
Mägi;PROPN;O;1;no
kui;SCONJ;O;48;yes
vanker;NOUN;O;1;no
mäng;NOUN;O;3;no
siis;ADV;O;68;yes
mina;PRON;O;218;yes
see;PRON;O;161;yes
kõlama;VERB;O;1;no
kuidagi;ADV;O;12;yes
palju;ADV;O;10;yes
ilusamalt;ADV;O;1;no
aga;CCONJ;O;76;yes
üks;PRON;O;1;yes
ei;AUX;O;88;yes
välistama;VERB;O;2;no
teine;PRON;O;3;yes
võima;AUX;O;14;yes
ja;CCONJ;O;240;yes
teistmoodi;ADV;O;2;no
jah;ADV;O;12;yes
teine;DET;O;5;yes
veel;ADV;O;19;yes
olema;AUX;O;307;yes
mõlema;DET;O;1;yes
yhtmoodi;ADV;O;1;no
karvane;ADJ;O;1;no
tõsi;NOUN;O;1;no
küll;ADV;O;10;yes
väga;ADV;O;13;yes
tihti;ADV;O;1;no
keegi;PRON;O;8;yes
karvasem;ADJ;O;1;no
täna;ADV;O;7;no
seetõttu;ADV;O;2;yes
peal;ADV;O;1;yes
puhtalt;ADV;O;1;no
sellepärast;ADV;O;5;yes
eks;ADV;O;6;yes
kaks;NUM;O;6;no
karvane;NOUN;O;1;no
nõusse;NOUN;O;1;no
ka;ADV;O;51;yes
kirjutama;VERB;O;21;no
hästi;ADV;O;11;no
pidama;AUX;O;14;yes
kohe;ADV;O;2;yes
algus;NOUN;O;4;no
siin;ADV;O;6;yes
ütlema;VERB;O;29;no
et;SCONJ;O;135;yes
tohutult;ADV;O;1;no
meeldima;VERB;O;6;no
lugema;VERB;O;17;no
mis;PRON;O;48;yes
sest;SCONJ;O;14;yes
armastus;NOUN;O;1;no
niisugune;DET;O;4;yes
magus;ADJ;O;1;no
kirjutus;NOUN;O;1;no
tulema;VERB;O;18;yes
tema;PRON;O;78;yes
nagu;SCONJ;O;34;yes
karge;ADJ;O;1;no
hing;NOUN;O;4;no
kui;ADV;O;4;yes
kaua;ADV;O;2;no
juba;ADV;O;9;yes
tegelikult;ADV;O;3;no
kirju;ADJ;O;1;no
teadma;VERB;O;20;no
arvama;VERB;O;14;no
seal;ADV;O;20;yes
üheksakümnes;ADJ;O;1;no
kuus;NUM;O;1;no
97;NUM;O;1;no
sattuma;VERB;O;2;no
