lemma;upos;ner tag;count;stopword
tere;INTJ;O;1;yes
õhtu;NOUN;O;5;no
,;PUNCT;O;208;no
kell;NOUN;O;1;no
olema;AUX;O;128;yes
kuus;NUM;O;2;no
ning;CCONJ;O;13;yes
Päevakada;PROPN;O;2;no
võtma;VERB;O;6;no
kokku;ADV;O;3;yes
tänane;ADJ;O;2;no
olulisem;ADJ;O;1;no
mina;PRON;O;29;yes
ja;CCONJ;O;91;yes
maailm;NOUN;O;2;no
.;PUNCT;O;172;no
stuudio;NOUN;O;1;no
toimetaja;NOUN;O;1;no
Margitta;PROPN;O;1;no
Otsmaa;PROPN;O;1;no
Eesti;PROPN;O;25;no
asuma;VERB;O;1;no
kaaluma;VERB;O;1;no
mõte;NOUN;O;3;no
esitama;VERB;O;8;no
Euroopa;PROPN;O;22;no
liit;NOUN;O;4;no
taotlus;NOUN;O;2;no
jagama;VERB;O;2;no
toetus;NOUN;O;5;no
tulevik;NOUN;O;3;no
kaks;NUM;O;17;no
eraldama;VERB;O;2;no
regioon;NOUN;O;5;no
territoorium;NOUN;O;2;no
Harjumaa;PROPN;O;3;no
ülejäänud;ADJ;O;3;no
jagamine;NOUN;O;5;no
puhul;ADP;O;4;yes
võima;AUX;O;10;yes
teoreetiliselt;ADV;O;3;no
või;CCONJ;O;9;yes
võitma;VERB;O;6;no
150;NUM;O;2;no
miljon;NUM;O;11;no
kuni;CCONJ;O;3;yes
500;NUM;O;2;no
isegi;ADV;O;3;yes
kuni;ADV;O;4;yes
700;NUM;O;2;no
USA;PROPN;O;6;no
Maryland;PROPN;O;2;no
osariik;NOUN;O;2;no
leidma;VERB;O;4;no
riiklik;ADJ;O;2;no
julgeolek;NOUN;O;2;no
agentuur;NOUN;O;2;no
NSA;PROPN;O;2;no
lähistel;ADP;O;2;no
ase;NOUN;O;2;no
tulema;VERB;O;13;yes
tulistamisjuhtum;NOUN;O;2;no
mis;PRON;O;20;yes
käigus;ADP;O;1;no
saama;AUX;O;15;yes
haavama;VERB;O;1;no
vähemalt;ADV;O;3;yes
üks;DET;O;8;yes
inimene;NOUN;O;5;no
komisjon;NOUN;O;5;no
pakkuma;VERB;O;3;no
välja;ADV;O;10;yes
esimees;NOUN;O;1;no
arutelu;NOUN;O;3;no
paber;NOUN;O;3;no
Liit;PROPN;O;10;no
järgmine;ADJ;O;7;yes
eelarve;NOUN;O;11;no
kohta;ADP;O;7;yes
asepresident;NOUN;O;2;no
Andrus;PROPN;O;3;no
Ansip;PROPN;O;4;no
suuresti;ADV;O;2;no
initseeritud;ADJ;O;1;no
ka;ADV;O;34;yes
Brexitist;PROPN;O;2;no
rohkem;ADV;O;3;yes
debateerima;VERB;O;2;no
see;PRON;O;43;yes
üle;ADP;O;8;yes
milleks;ADV;O;2;yes
raha;NOUN;O;5;no
kulutama;VERB;O;2;no
mitte;ADV;O;6;yes
keskenduma;VERB;O;3;no
siis;ADV;O;41;yes
see;DET;O;33;yes
protsent;NOUN;O;2;no
sajandik;NOUN;O;2;no
lõhkiajamine;NOUN;O;2;no
homse;NOUN;O;2;no
tulu;NOUN;O;5;no
operatsioon;NOUN;O;1;no
möödunud;ADJ;O;2;no
aasta;NOUN;O;18;no
uus;ADJ;O;4;no
kord;NOUN;O;2;no
järgi;ADP;O;1;yes
ei;AUX;O;18;yes
enam;ADV;O;3;yes
abikaasa;NOUN;O;9;no
