lemma;upos;ner tag;count;stopword
tervist;NOUN;O;1;no
,;PUNCT;O;318;no
kallis;ADJ;O;1;no
kunst;NOUN;O;7;no
vaatama;VERB;O;7;no
kuulaja;NOUN;O;1;no
.;PUNCT;O;192;no
tänane;ADJ;O;4;no
saade;NOUN;O;5;no
olema;AUX;O;150;yes
mina;PRON;O;105;yes
erakordne;ADJ;O;1;no
kuna;SCONJ;O;4;yes
esimene;ADJ;O;4;no
kord;NOUN;O;3;no
ajalugu;NOUN;O;3;no
kunstnik;NOUN;O;9;no
monoloog;NOUN;O;1;no
ehk;CCONJ;O;9;yes
siis;ADV;O;53;yes
Marco;PROPN;O;3;no
Laimre;PROPN;O;7;no
lon;NOUN;O;1;no
hobusepea;NOUN;O;2;no
galerii;NOUN;O;3;no
veel;ADV;O;8;yes
üks;DET;O;17;yes
päev;NOUN;O;3;no
avatud;ADJ;O;2;no
näitus;NOUN;O;9;no
halb;ADJ;O;3;no
nali;NOUN;O;3;no
ja;CCONJ;O;84;yes
seal;ADV;O;12;yes
toimuma;VERB;O;4;no
eelmine;ADJ;O;1;yes
neljapäev;NOUN;O;1;no
artist;NOUN;O;1;no
tooma;VERB;O;2;no
mis;PRON;O;64;yes
viima;VERB;O;4;no
läbi;ADP;O;4;yes
küsimus;NOUN;O;10;no
esitama;VERB;O;5;no
tema;PRON;O;22;yes
vastama;VERB;O;2;no
Marko;PROPN;O;5;no
isikuliselt;ADV;O;1;no
see;DET;O;64;yes
ettekanne;NOUN;O;1;no
pikem;ADJ;O;1;no
jupp;NOUN;O;1;no
sina;PRON;O;12;yes
kuulamine;NOUN;O;2;no
puudutama;VERB;O;3;no
eelkõige;ADV;O;1;yes
tsensuur;NOUN;O;14;no
osa;NOUN;O;2;no
tulenevalt;ADV;O;1;no
saateformaat;NOUN;O;1;no
kõik;PRON;O;4;yes
ei;AUX;O;43;yes
saama;AUX;O;9;yes
ette;ADV;O;3;yes
kandma;VERB;O;1;no
vahepeale;ADV;O;1;yes
Monaloog;PROPN;O;1;no
kuulama;VERB;O;2;no
ka;ADV;O;10;yes
Facio;PROPN;O;1;no
aim;NOUN;O;1;no
robot;NOUN;O;1;no
kaver;NOUN;O;1;no
Eha;PROPN;O;1;no
Urbsalu;PROPN;O;1;no
euroloos;NOUN;O;1;no
sissejuhatama;VERB;O;1;no
välja;ADV;O;10;yes
juhatama;VERB;O;2;no
tavapärane;ADJ;O;1;no
saatejuht;NOUN;O;1;no
Aleksander;PROPN;O;2;no
saabas;NOUN;O;1;no
Karen;PROPN;O;2;no
Jagodin;PROPN;O;2;no
hea;ADJ;O;5;no
nüüd;ADV;O;8;yes
taaskord;ADV;O;1;no
väga;ADV;O;18;yes
siin;ADV;O;9;yes
nägema;VERB;O;5;no
täna;ADV;O;5;no
ringintervju;NOUN;O;1;no
markalaim;NOUN;O;1;no
kes;PRON;O;13;yes
modereerima;VERB;O;1;no
olukord;NOUN;O;2;no
käesolev;ADJ;O;1;no
näitama;VERB;O;5;no
autoril;NOUN;O;1;no
Marcolaiendia;PROPN;O;1;no
mõningas;DET;O;1;yes
asjakohane;ADJ;O;1;no
lootma;VERB;O;1;no
et;SCONJ;O;102;yes
mõni;DET;O;5;yes
asi;NOUN;O;17;no
iga;DET;O;2;yes
kui;SCONJ;O;26;yes
moderaator;NOUN;O;1;no
ära;ADV;O;6;yes
unustama;VERB;O;1;no
või;CCONJ;O;31;yes
taipama;VERB;O;1;no
küsima;VERB;O;1;no
juures;ADP;O;1;yes
parandama;VERB;O;2;no
korrigeerimine;NOUN;O;1;no
saamatus;NOUN;O;2;no
võima;AUX;O;8;yes
alustama;VERB;O;2;no
selline;ADJ;O;3;yes
miks;ADV;O;17;yes
selline;DET;O;10;yes
tegema;VERB;O;11;yes
?;PUNCT;O;22;no
aitäh;INTJ;O;3;yes
kusagil;ADV;O;5;yes
2007.;ADJ;O;1;no
aasta;NOUN;O;12;no
algus;NOUN;O;1;no
kujunema;VERB;O;1;no
küllaltki;ADV;O;1;no
sügav;ADJ;O;2;no
depressioon;NOUN;O;1;no
nimetama;VERB;O;3;no
see;PRON;O;83;yes
identiteedikriis;NOUN;O;1;no
aga;CCONJ;O;23;yes
miski;PRON;O;22;yes
sinnapoole;ADV;O;1;yes
hetk;NOUN;O;9;no
Kunstiakadeemia;PROPN;O;1;no
töötama;VERB;O;4;no
peaaegu;ADV;O;2;yes
poolteist;NUM;O;1;no
suutma;VERB;O;2;no
seeläbi;ADV;O;1;no
lahendama;VERB;O;1;no
päris;ADV;O;2;yes
palju;PRON;O;3;yes
idee;NOUN;O;2;no
lahendus;NOUN;O;1;no
ootav;ADJ;O;1;no
probleem;NOUN;O;5;no
üliõpilane;NOUN;O;1;no
tegevus;NOUN;O;3;no
tekkima;VERB;O;3;no
tugev;ADJ;O;2;no
