keyphrase;score
kunstinäitus;0.3995
kunstnik;0.3785
kuulma;0.3777
kuulama;0.3769
elektroakustiline;0.3762
helikunstnik;0.3759
kuulaja;0.3724
kunstisaade;0.3722
aleksander;0.3704
poliitiline;0.3703
traditsiooniline;0.3693
kunstimuuseum;0.3682
kunstinäitu;0.3659
kunstiteos;0.3599
näitusesaal;0.3596
inimene;0.3581
traditsioonilisem;0.354
istumine;0.3519
trükipress;0.348
viimane;0.348
kunstikool;0.3475
kunstiakadeemiane;0.3448
kunstihoone;0.3445
kuulamine;0.3445
lääne-euroopa;0.3437
poliitiliselt;0.3427
inglise;0.3424
artist;0.3383
huvitav;0.3381
ajalooliselt;0.3381
telefoniintervjuu;0.3379
õpilane;0.3368
küsimus;0.3361
esimene;0.3354
kunst;0.3343
platvorm;0.3342
projekt;0.3325
jääma;0.3325
analüüsima;0.3315
täna;0.3298
kaasaegne;0.3298
teemavaldkond;0.3295
käesolev;0.3287
vaataja;0.3282
stiil;0.3281
jätkuma;0.3279
rääkima;0.324
oluline;0.3237
postkaar;0.3229
klassikaline;0.3227
intervjuu;0.3208
kirjutama;0.32
esinev;0.3197
sedel;0.3192
esinema;0.3191
probleem;0.3188
;0.3187
kujundaja;0.3178
puudutama;0.3169
saatejuht;0.3139
õppima;0.3139
graafikatehnika;0.3132
naljakas;0.3114
ekraan;0.3107
mõtlema;0.3105
koht;0.3095
rahvusvaheline;0.3092
päevakord;0.3082
installatsioon;0.3073
publik;0.3065
suhtlus;0.3052
töötama;0.3049
holtsar;0.3048
sotsiaalkriitiline;0.3044
kunstgraafika;0.3044
sündmus;0.3043
töötav;0.3038
ajaleht;0.3032
visuaalne;0.3027
andres;0.3026
kursusetöö;0.302
puu;0.3019
kõrgem;0.3018
kuuldamatu;0.3008
aktiivne;0.3003
graafikanäitus;0.3001
demokraatlik;0.2998
lugemine;0.2998
ajakirjandus;0.2994
meediakool;0.2989
keelepõhine;0.2987
bussipeatus;0.298
audiogalerii;0.2978
haakrist;0.2972
plakat;0.297
teater;0.2966
professionaalne;0.2961
uuriv;0.2961
seminar;0.295
kohalik;0.295
plokk;0.2941
ühiskondlik;0.2932
neljapäev;0.292
situatsioon;0.2918
kriitiline;0.2899
helistasin;0.2897
nägu;0.289
žanr;0.2886
põhiline;0.2885
toimuma;0.2883
metallapea;0.2882
näiteks;0.2879
kuuluma;0.2879
sügispäev;0.2874
seisnenud;0.2874
eesti;0.2872
poseer;0.2868
väljund;0.2865
idee;0.2862
ülikool;0.2857
reisberg;0.2855
nägema;0.2846
üldteema;0.2839
kolmas;0.2837
helimaastik;0.2835
paralleelselt;0.283
järjekinne;0.283
tõenäoliselt;0.2829
päev;0.2828
tehnoloogiline;0.2825
legendaarne;0.2824
üksik;0.2817
mõistma;0.2814
8005;0.2813
pealkiri;0.2813
aasta;0.2801
tomberg;0.28
vormitu;0.28
saade;0.2789
osaleja;0.2784
hoolitsema;0.2781
otsene;0.278
poeetiline;0.278
söör;0.2777
lihtne;0.2775
astusin;0.2774
kuraatoritöö;0.2771
vastaks;0.2765
kujund;0.2758
planeerima;0.2747
representatsioon;0.2743
keskus;0.2742
kontseptsioon;0.2738
valima;0.2733
raske;0.2733
häns;0.2728
tekstikogumik;0.2727
põhimõtteliselt;0.2725
lisama;0.2723
uuesti;0.2719
kättesaadavam;0.2712
okei;0.2681
võitlema;0.268
park;0.2677
tartlane;0.2671
helipala;0.2662
väsitav;0.2662
avatus;0.266
geograafiline;0.2659
konservatiivne;0.2657
13;0.2645
näpp;0.263
isse;0.2617
laiahaardeline;0.2617
sõnum;0.2617
efekts;0.2604
nimekiri;0.2603
majandus;0.2598
strateegia;0.2598
mõrvatud;0.2595
animatsioonifilm;0.2588
tervis;0.2587
konverents;0.2587
kaheksa;0.2574
kõikjal;0.2562
söök;0.2547
kallis;0.2533
chrisinitš;0.2527
tegelane;0.2521
retoorika;0.2521
kommentaar;0.2516
indrek;0.2511
keller;0.2472
tammsaare;0.2464
linn;0.2456
jõekallas;0.2442
algoritm;0.2408
ultravasakpoolne;0.2396
grigor;0.2394
pronkssõdur;0.2131
