EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,8,6,9,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
9,7,9,5,4,7,6,8,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
10,6,10,4,4,8,7,7,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
7,5,10,7,4,9,8,10,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
7,6,9,7,3,10,9,10,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; facebook; börs; kristjan
8,7,11,8,4,8,9,11,6,12,trahv; karistus; port; hilinemine; euroopa; majandusliit; miljon; liit; börs; facebook; kristjan
