EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
8,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,8,6,7,5,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
9,8,6,7,4,7,7,7,6,10,saatja; ühendproov; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu; lastekoor
