EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
12,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
11,9,9,8,5,7,5,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
11,9,9,11,5,7,7,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
9,9,9,8,7,8,7,9,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
9,9,9,8,7,9,7,10,7,15,iraan; kasekamp; programm; hääl; uus; kana; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
8,9,9,10,8,9,7,10,7,15,iraan; kasekamp; programm; kana; uus; hääl; senjorii; andres; televisioon; kanada; aasta; trump; jäähoki
