EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,5,5,2,3,3,5,3,13,saepuru; uno; eesti; buldooser; akadeemia; vesi; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
7,3,5,5,2,3,3,5,3,13,saepuru; uno; eesti; buldooser; akadeemia; vesi; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
7,3,5,5,2,3,3,5,3,13,saepuru; uno; eesti; buldooser; akadeemia; vesi; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
7,3,5,5,2,3,3,5,3,13,saepuru; uno; eesti; buldooser; akadeemia; vesi; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
7,3,6,5,2,3,3,6,2,13,saepuru; uno; eesti; buldooser; akadeemia; vesi; toru; pauts; põllumaa; sügavus; ekskavaator; põllumajandus
7,3,7,5,2,5,3,7,2,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
8,3,7,7,2,5,3,7,2,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
9,6,7,6,2,5,4,5,3,13,saepuru; uno; eesti; akadeemia; vesi; buldooser; toru; pauts; sügavus; põllumaa; ekskavaator; põllumajandus
9,6,8,5,3,6,3,9,3,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
7,5,9,7,2,5,3,9,3,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
7,5,8,7,2,2,4,8,6,13,saepuru; akadeemia; toru; põllumaa; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator; põllumajandus
