EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,8,6,4,2,2,5,6,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; ehitamine; esimene; renessanss
3,8,6,4,2,2,5,6,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; ehitamine; esimene; renessanss
3,8,6,4,2,2,5,6,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; ehitamine; esimene; renessanss
3,8,5,4,2,2,5,6,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; ehitamine; esimene; renessanss
3,8,5,4,2,3,6,7,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; ehitamine; esimene; renessanss
3,7,6,5,2,4,5,7,6,13,napoleon; kuningas; pariis; françois; luksuslik; loss; esimene; ehitamine; renessanss
5,4,4,3,2,6,4,7,6,13,napoleon; kuningas; mürk; pariis; françois; luksuslik; vaheldus; loss; esimene; ehitamine; renessanss
4,7,5,7,3,6,7,5,4,13,pariis; napoleon; kuningas; mürk; françois; luksuslik; loss; ehitamine; esimene; renessanss
4,8,4,7,3,6,7,5,4,13,reis; pariis; kuningas; napoleon; mürk; françois; luksuslik; vaheldus; loss; esimene; renessanss
6,7,4,6,3,6,7,6,5,13,reis; pariis; kuningas; napoleon; mürk; françois; luksuslik; vaheldus; loss; esimene; renessanss
7,8,4,6,2,9,6,5,2,13,napoleon; loss; esimene; reis; pariis; kuningas; mürk; françois; luksuslik; ehitamine; sisekujundus; renessanss
