EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,3,3,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,3,3,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,3,4,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,3,5,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,3,5,4,1,2,2,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
3,2,6,4,1,4,3,6,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
4,2,6,4,1,5,3,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
1,2,6,6,1,6,5,5,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
2,1,5,5,3,5,3,4,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
2,1,5,5,4,4,2,4,1,14,harry; mall; parts; koalitsioon; aktsia; mälberg; juhan
