EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
9,9,5,7,3,8,8,9,9,11,olümpia; barcelona; kümnevõistleja; mercury; andres; klassikaraadio; freddie; maailmameistrivõistlus; muusika; uunikum
