EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,9,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,9,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,9,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,9,11,reino; nutune; kruusvall; raudtee; etendus; sugulane; jaan; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
5,3,5,6,5,7,6,8,8,11,raudtee; etendus; sugulane; nutune; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
