EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,4,3,0,4,4,5,4,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,4,4,3,0,4,4,5,4,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,4,4,3,0,4,4,5,4,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,4,4,3,0,4,4,5,6,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,4,5,3,0,4,4,5,6,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,4,5,3,0,4,3,5,4,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,3,6,3,0,4,4,5,6,16,majandus; itaalia; inflatsioon; vare; josing; eesti; silvio; kai; berluscon; marje
6,3,4,7,0,7,6,4,4,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,4,3,7,0,8,3,3,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,3,3,6,0,7,6,3,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
3,5,5,5,0,4,4,4,6,16,majandus; itaalia; inflatsioon; vare; eesti; josing; silvio; kai; berluscon; marje
