EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,5,5,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,5,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,5,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,6,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,5,7,6,5,5,4,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
8,5,7,6,5,6,4,7,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,4,6,7,5,6,7,8,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,7,6,6,5,8,8,8,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,8,7,6,3,9,8,9,4,10,gladiaator; ameerika; sõda; võit; mees; sport; naine; meedia; jalgpall; võistlus
6,6,7,5,3,8,7,8,6,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
