EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,7,8,4,6,4,8,7,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,7,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,7,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,8,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,7,8,4,6,4,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
3,8,8,8,4,6,5,8,9,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
4,8,8,9,4,6,6,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
6,9,8,9,4,6,6,8,9,13,aeg; raadiojaam; tele; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
7,9,8,6,4,6,6,9,8,13,aeg; tele; raadiojaam; port; surfaja; internet; minut; päev; meediatarbimine; uudis; kristjan; tehnoloogia
