EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,7,8,5,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,5,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
8,6,7,8,4,5,2,6,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
7,6,7,8,4,5,2,6,6,12,lasteporno; tarkus; tsensuur; port; john; internetiteenus; mccain; lamar; seadusalgatus; jälitamiskohustus; kristjan
7,6,8,8,4,5,2,8,6,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
7,6,8,7,5,5,2,10,6,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
5,7,8,7,5,5,2,10,7,12,tsensuur; port; seadusalgatus; internetiteenus; mccain; jälitamiskohustus; lasteporno; tarkus; john; kristjan; lamar
