EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,4,4,1,1,2,3,2,11,viirus; kristjan; epideemia; informatsioon; port
4,2,3,4,1,1,2,4,2,11,viirus; kristjan; epideemia; informatsioon; port
4,2,2,4,1,2,2,4,2,11,viirus; kristjan; epideemia; informatsioon; port
4,1,2,4,1,1,2,4,2,11,viirus; kristjan; epideemia; informatsioon; port
5,1,3,2,2,3,2,5,2,11,viirus; kristjan; epideemia; informatsioon; port
3,2,3,3,1,3,2,5,3,11,viirus; kristjan; epideemia; informatsioon; port
