EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,3,4,2,4,2,7,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
5,7,3,4,2,4,2,7,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
5,7,3,4,2,4,2,7,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
5,7,3,4,2,4,2,7,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
5,7,5,4,2,4,2,7,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
5,6,4,4,2,4,2,8,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
3,7,6,4,2,3,2,5,3,12,andres; estonia; leib; teater; köster; kostüüm; näitleja; jõgis; teenima; viiul
3,4,6,3,2,3,2,7,3,12,andres; estonia; leib; teater; köster; kostüüm; näitleja; jõgis; teenima; viiul
6,5,5,1,3,5,1,9,3,12,leib; kostüüm; jõgis; teenima; andres; estonia; teater; köster; näitleja; viiul
4,6,5,2,3,5,3,5,3,12,andres; estonia; leib; teater; köster; näitleja; kostüüm; jõgis; teenima; viiul
4,5,5,3,3,5,3,9,3,12,leib; kostüüm; jõgis; teenima; andres; estonia; teater; köster; näitleja; viiul
