EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,1,1,2,2,4,2,15,film; kangelane; liit; stalin; komandör
3,2,2,1,1,2,2,4,2,15,film; kangelane; liit; stalin; komandör
3,2,2,1,1,2,2,4,2,15,film; kangelane; liit; stalin; komandör
3,2,2,1,1,2,2,4,2,15,film; kangelane; liit; stalin; komandör
3,2,2,1,1,2,2,4,2,15,film; kangelane; liit; stalin; komandör
2,2,2,1,1,2,3,5,2,15,film; kangelane; liit; stalin; komandör
2,2,3,4,1,4,5,5,2,15,stalin; komandör; film; kangelane; liit
1,2,3,3,1,5,4,5,2,15,stalin; komandör; film; kangelane; liit
2,2,3,3,2,4,3,4,2,15,stalin; komandör; film; kangelane; liit
3,2,3,3,2,4,4,3,2,15,stalin; komandör; film; kangelane; liit
3,2,3,3,2,4,4,3,2,15,stalin; komandör; film; kangelane; liit
