EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
8,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
9,7,7,8,4,8,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
9,7,7,7,4,7,7,8,7,12,hämarik; lill; lind; faehlmann; robert; taevas; päike; friedrich; koit; huul
9,7,7,9,4,6,8,9,7,12,koit; lill; lind; faehlmann; päike; hämarik; robert; friedrich; taevas; huul
9,8,7,8,5,7,8,9,7,12,koit; lill; lind; faehlmann; päike; hämarik; robert; friedrich; taevas; huul
