EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
7,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; teater; liit; draamatrupp
8,9,7,9,4,8,7,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
8,9,7,9,4,8,8,9,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
10,9,7,7,4,8,8,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
10,8,8,7,3,8,7,10,3,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; vanemuine; sõprus; tšehhoslovakkia; liit; teater; draamatrupp
10,7,8,8,4,8,7,10,4,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
