EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,3,6,3,6,4,2,5,8,11,õppimine; täiskasvanu; ants; ettekujutus; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
10,3,6,3,6,4,2,5,7,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; ants; tooming
