EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
8,9,5,8,6,6,5,10,9,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; sidepidamine; kommunistlik
