EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
5,6,6,5,6,5,5,5,9,11,autoriteet; nurk; alandlikkus; heino; käsuõpetus; washington; teistmoodi; seadus; väärtus; ohtlik
