EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,6,6,1,4,5,5,5,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
2,5,6,6,1,4,5,5,6,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
2,5,6,6,1,4,5,5,6,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
2,5,7,6,1,4,5,5,6,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
2,5,7,6,1,4,5,7,6,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
4,5,7,6,1,4,5,8,5,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
5,7,7,4,1,6,7,7,6,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
9,5,6,5,1,8,6,6,6,12,film; eesti; filmitegija; eelarve; televisioon; rahvusvaheline; kino; sõprus; formaat; dokumentaalfilm
6,6,5,6,1,6,6,7,4,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
5,4,7,5,2,5,6,5,5,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
6,3,5,5,2,2,5,5,3,12,film; eesti; filmitegija; eelarve; rahvusvaheline; formaat; kino; sõprus; televisioon; dokumentaalfilm
