EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
6,6,5,5,3,5,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,7,8,3,5,4,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,6,7,7,3,4,5,7,7,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
7,9,6,7,3,5,6,7,7,13,thomas; blogi; kristjan; watson; port; globaalne; mõtlema; tehnoloogia; internet; suurelt; arvuti
6,8,7,8,6,5,6,7,6,13,thomas; tehnoloogia; blogi; kristjan; watson; port; internet; suurelt; globaalne; arvuti; mõtlema
