EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,7,3,6,6,6,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
6,5,6,7,3,6,6,6,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
6,5,6,7,3,6,6,6,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
6,5,6,7,3,6,6,6,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
6,7,6,7,4,6,6,6,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
7,8,7,8,4,6,6,7,4,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
6,8,7,6,4,7,6,9,4,14,kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; mozart; palk; kammerorkester; arvo
6,10,7,8,5,7,7,7,4,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
5,9,8,8,4,6,8,9,4,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
3,8,7,3,5,7,7,7,4,14,kammerorkester; kontsert; interpreet; gerretz; leibur; pakkumine; dirigent; jüri; palk; mozart; arvo
3,7,7,4,6,7,8,8,4,14,gerretz; leibur; jüri; palk; mozart; kontsert; interpreet; pakkumine; dirigent; kammerorkester; arvo
