EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
5,5,4,6,3,4,3,4,4,10,september; muusika; vaikus; tõnis; laul; popmuusika; kool
