EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
6,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
7,8,8,9,6,6,10,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,8,9,10,6,6,9,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
8,8,9,9,6,6,7,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
9,9,9,9,6,8,8,8,7,13,johannes; gregorius; jumal; püha; kolmas; misjon; paavst; troon; issand; kirikukalender; pühakutepäev
