EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
7,7,5,4,4,6,5,6,6,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
