EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,4,8,6,2,5,3,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
7,3,8,6,2,6,3,7,8,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
7,4,8,5,2,6,4,7,7,12,andmed; portaal; töökoormus; isikuandmed; port; seadus; kristjan; euroopa; regulatsioon; personaalne; liit
6,4,8,6,2,5,5,8,7,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
6,5,8,6,1,5,5,8,8,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
6,6,8,7,3,6,6,8,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
