EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,3,0,2,2,1,2,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,2,3,0,2,2,1,2,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,2,3,0,2,2,1,2,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,2,2,0,2,2,1,2,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,2,1,0,2,2,1,2,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,2,1,0,2,0,2,0,0,14,anders; tallinn; näitus; mäng; probleem; saladus
0,3,2,0,2,0,1,0,0,14,anders; tallinn; mäng; huumor; probleem; saladus
0,3,2,0,2,0,0,0,0,14,anders; tallinn; mäng; huumor; probleem; saladus
0,2,1,1,2,2,1,0,0,14,anders; tallinn; huumor; probleem; saladus; akvarell
0,3,1,2,2,1,1,0,0,14,anders; tallinn; huumor; probleem; saladus; akvarell
0,1,2,4,2,2,0,1,0,14,anders; tallinn; huumor; probleem; saladus; akvarell
